Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Note: %N : Simulation Start.
Time: 0 ps  Iteration: 0  Process: /DSPProc_TB/stim  File: C:/top/f7/vicilab/sample_projects/applications/DSPProc2_21B/vhdl/HDLmodel/testbench/DSPProc_TB.vhd
blk_mem_gen_v8_4_3 collision detected at time: 50000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 70000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B  read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 90000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B  read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 110000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B  read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 130000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1c, B  read address: 1c
blk_mem_gen_v8_4_3 collision detected at time: 150000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1b, B  read address: 1b
blk_mem_gen_v8_4_3 collision detected at time: 170000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1a, B  read address: 1a
blk_mem_gen_v8_4_3 collision detected at time: 190000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 19, B  read address: 19
blk_mem_gen_v8_4_3 collision detected at time: 210000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 18, B  read address: 18
blk_mem_gen_v8_4_3 collision detected at time: 230000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 17, B  read address: 17
blk_mem_gen_v8_4_3 collision detected at time: 250000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 16, B  read address: 16
