+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[25]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[28]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[30]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[3]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[6]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[0]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[17]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[7]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[2]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[22]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[26]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[27]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[31]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[5]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[12]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 DSPProc_design_i/DSPProc_0/U0/DSP_top_i/threshold_i/CSThreshVec_reg[19]/D|
